index_label,longitude,latitude,time,d2m,t2m,skt,stl1,stl2,stl3,stl4
8162,100.5,30.5,2020-12-06 02:00:00,261.89013799472036,268.434562555392,270.6896083235073,271.47773290567824,272.83303009634403,274.6892507020855,278.8485629563839
8163,100.5,30.5,2020-12-06 03:00:00,261.78477092186023,270.86459805697547,274.28657209113373,271.60313366095136,272.8285380045884,274.68579377991693,278.84356623605606
8164,100.5,30.5,2020-12-06 04:00:00,261.6341221317379,273.05432076936074,277.0660977874309,271.75891785913205,272.8244542848105,274.6826249345958,278.8404648234388
8165,100.5,30.5,2020-12-06 05:00:00,261.05416782987976,274.89238885971463,279.173481485771,271.92740786071045,272.82241242492154,274.6791680124273,278.8373634108215
8166,100.5,30.5,2020-12-06 06:00:00,260.277412218382,276.1004477459543,280.2826929727336,272.0848493375952,272.8203705650326,274.67772762819044,278.8342619982043
8167,100.5,30.5,2020-12-06 07:00:00,257.5770544254958,276.88447981882103,280.39727605498643,272.22240347003134,272.8211873089882,274.67513493656406,278.82909297717555
8168,100.5,30.5,2020-12-06 08:00:00,256.44675309845087,276.6720024878311,279.24199508134484,272.31797320863154,272.8203705650326,274.6716780143955,278.82599156455825
8169,100.5,30.5,2020-12-06 09:00:00,257.06153949051077,275.71075133103824,277.1712307185701,272.3687964222224,272.81996219305483,274.6685091690744,278.82271785124004
8170,100.5,30.5,2020-12-06 10:00:00,257.7973673960215,274.49990889897776,274.12237571553436,272.36382458611024,272.81996219305483,274.6670687848375,278.8177211309122
8171,100.5,30.5,2020-12-06 11:00:00,258.33291078287255,273.05710431518156,270.4143726723227,272.3058198314685,272.8203705650326,274.66361186266903,278.814619718295
8172,100.5,30.5,2020-12-06 12:00:00,258.82752646373655,272.4141052305701,265.18962037537307,272.1804190761954,272.819553821077,274.6604430173479,278.81134600497677
8173,100.5,30.5,2020-12-06 13:00:00,259.26553999802286,271.41110088646485,262.8424390925246,272.0754580916056,272.81873707712145,274.659002633111,278.80841689306044
8174,100.5,30.5,2020-12-06 14:00:00,259.6617550240671,270.5018092516608,261.81237262113865,271.9798883530054,272.81628684525475,274.6558337877899,278.80514317974223
